store_name,county,total_sales
HY-VEE FOOD STORE / MOUNT AYR,RINGGOLD,205422.39999999997
HY-VEE DOLLAR FRESH / MANCHESTER,DELAWARE,201058.59999999989
HY-VEE FOOD STORE / CORNING,ADAMS,188694.26
HY-VEE DOLLAR FRESH / INDEPENDENCE,BUCHANAN,186381.82000000012
HY-VEE CRESCO DOLLAR FRESH,HOWARD,186114.97000000003
HY-VEE DOLLAR FRESH - TOLEDO,TAMA,181813.89000000007
HY-VEE -GARNER,HANCOCK,163577.48
HY-VEE FAST & FRESH / DAVENPORT,SCOTT,145994.88999999998
HY-VEE FOOD STORE (1009) / ALBIA,MONROE,137056.69000000012
HY-VEE FAST & FRESH/ALTOONA,POLK,127685.05999999994
HY-VEE HAMPTON DOLLAR FRESH,FRANKLIN,120507.44000000005
HY-VEE / CORYDON,WAYNE,114546.43000000001
HY-VEE FOOD STORE / ELDORA,HARDIN,104483.74999999999
HY-VEE FOOD STORE / LEON,DECATUR,91329.98000000001
HY-VEE FAST & FRESH / WDM,POLK,80087.879999999932
HY-VEE C-STORE / SE ARMY POST,POLK,78910.95
HY-VEE WAUKON DOLLAR FRESH,ALLAMAKEE,72515.809999999983
HY-VEE FOOD STORE #4 / CEDAR RAPIDS,LINN,69409.55
HY-VEE FAST AND FRESH / CUMMING,WARREN,69002.65
HY-VEE FOOD STORE / BEDFORD,TAYLOR,68331.110000000015
HY-VEE FAST AND FRESH #5 (7584) / URBANDALE,POLK,68323.299999999988
HY-VEE FAST AND FRESH #2 (7591) / WEST DES MOINES,POLK,62787.180000000029
HY-VEE FOOD STORE #1 (1105) / DAVENPORT,SCOTT,61583.080000000024
HY-VEE FAST AND FRESH #3 / URBANDALE,POLK,60706.860000000015
HY-VEE FAST AND FRESH / WAUKEE,DALLAS,57778.81
HY-VEE FOOD STORE / DENISON,CRAWFORD,53605.279999999992
HY-VEE FAST AND FRESH #2 / GRIMES,POLK,51670.019999999975
HY-VEE FAST AND FRESH #4 (7583) / URBANDALE,POLK,51564.040000000015
HY-VEE FOOD STORE / LAMONI,DECATUR,50619.149999999972
HY-VEE FAST AND FRESH / MARION,LINN,49832.659999999996
HY-VEE MAINSTREET / SIOUX CITY,WOODBURY,49417.549999999996
HY-VEE FAST AND FRESH #3 (7592) / WEST DES MOINES,POLK,47402.140000000007
HY-VEE GAS #1 / ANKENY,POLK,45424.660000000011
HY-VEE FAST & FRESH EXPRESS- BETTENDORF,SCOTT,43529.020000000019
HY-VEE GAS #2 / OTTUMWA,WAPELLO,43301.610000000008
HY-VEE FAST AND FRESH #2 / WAUKEE,DALLAS,43140.559999999983
HY-VEE C-STORE #2 - ANKENY,POLK,42118.139999999992
HY-VEE FAST AND FRESH - DUBUQUE,DUBUQUE,41372.739999999991
HY-VEE FAST AND FRESH - WINDSOR HEIGHTS,POLK,38779.239999999983
HY-VEE GAS - PLEASANT HILL,POLK,38112.500000000007
HY-VEE C-STORE - EAST HICKMAN,DALLAS,36137.420000000013
HY-VEE FAST & FRESH 2 / DAVENPORT,SCOTT,34770.859999999993
HY-VEE FAST AND FRESH - URBANDALE,POLK,33842.540000000023
HY-VEE GAS / JOHNSTON,POLK,32834.260000000031
HY-VEE GAS #2 / CORALVILLE,JOHNSON,30973.070000000014
HY-VEE C-STORE #3 / DUBUQUE,DUBUQUE,29967.940000000006
HY-VEE C-STORE - DOUGLAS,POLK,27460.280000000002
HY-VEE GAS / INDIANOLA,WARREN,26068.059999999994
HY-VEE GAS #3 / WDM,DALLAS,24321.730000000003
HY-VEE FAST AND FRESH / GRIMES,POLK,24247.519999999997
HY-VEE / KNOXVILLE,MARION,21879.490000000005
HY-VEE FAST AND FRESH / JOHNSTON,POLK,21168.35
HY-VEE GAS #4 / DES MOINES,POLK,19921.039999999994
HY-VEE FAST AND FRESH / CLIVE,POLK,19675.460000000006
HY-VEE C-STORE / FAIRFIELD,JEFFERSON,17603.48
HY-VEE FAST AND FRESH #2 / AMES,STORY,16660.35
HY-VEE C STORE #5 / CEDAR RAPIDS,LINN,16388.509999999991
HY-VEE GAS #5 / DAVENPORT,SCOTT,15611.909999999994
HY-VEE GAS #4 - WDM,POLK,15546.109999999999
HY-VEE C-STORE #3 / CEDAR RAPIDS,LINN,15309.160000000002
HY-VEE GAS / NEWTON,JASPER,14745.569999999996
HY-VEE #3 GAS / IOWA CITY,JOHNSON,13644.850000000004
HY-VEE GAS #2 / BURLINGTON,DES MOINES,13141.850000000002
HY-VEE FAST & FRESH / ALTOONA,POLK,12228.69
HY-VEE FAST & FRESH EXPRESS / CRESTON,UNION,11584.380000000001
HY-VEE GAS #1 / OTTUMWA,WAPELLO,7179.55
HY-VEE FAST & FRESH EXPRESS -OSCELOA,CLARKE,6383.78
HY-VEE GAS #5018 / AMES,STORY,6380.0899999999992
HY-VEE FAST & FRESH EXPRESS / CENTERVILLE,APPANOOSE,5086.2400000000025
HY-VEE GAS / FORT MADISON,LEE,3138.4900000000007
HY-VEE FAST & FRESH - KNOXVILLE,MARION,2606.67
HY-VEE C STORE / MT. PLEASANT,HENRY,2495.97
HY-VEE (1516) / PELLA,MARION,2313.6800000000007
HY-VEE FAST AND FRESH / GRIMES,,2070.96
